module name,license,repository
@angular/animations@12.2.14,MIT,https://github.com/angular/angular
@angular/cdk@12.2.13,MIT,https://github.com/angular/components
@angular/common@12.2.14,MIT,https://github.com/angular/angular
@angular/compiler-cli@12.2.14,MIT,https://github.com/angular/angular
@angular/compiler@12.2.14,MIT,https://github.com/angular/angular
@angular/core@12.2.14,MIT,https://github.com/angular/angular
@angular/elements@12.2.14,MIT,https://github.com/angular/angular
@angular/forms@12.2.14,MIT,https://github.com/angular/angular
@angular/localize@12.2.14,MIT,https://github.com/angular/angular
@angular/material@12.2.13,MIT,https://github.com/angular/components
@angular/platform-browser-dynamic@12.2.14,MIT,https://github.com/angular/angular
@angular/platform-browser@12.2.14,MIT,https://github.com/angular/angular
@angular/router@12.2.14,MIT,https://github.com/angular/angular
@babel/code-frame@7.10.4,MIT,https://github.com/babel/babel
@babel/code-frame@7.14.5,MIT,https://github.com/babel/babel
@babel/compat-data@7.15.0,MIT,https://github.com/babel/babel
@babel/core@7.14.8,MIT,https://github.com/babel/babel
@babel/core@7.8.3,MIT,https://github.com/babel/babel/tree/master/packages/babel-core
@babel/generator@7.14.5,MIT,https://github.com/babel/babel
@babel/generator@7.15.4,MIT,https://github.com/babel/babel
@babel/helper-compilation-targets@7.15.4,MIT,https://github.com/babel/babel
@babel/helper-function-name@7.14.5,MIT,https://github.com/babel/babel
@babel/helper-function-name@7.15.4,MIT,https://github.com/babel/babel
@babel/helper-get-function-arity@7.15.4,MIT,https://github.com/babel/babel
@babel/helper-hoist-variables@7.15.4,MIT,https://github.com/babel/babel
@babel/helper-member-expression-to-functions@7.15.4,MIT,https://github.com/babel/babel
@babel/helper-module-imports@7.15.4,MIT,https://github.com/babel/babel
@babel/helper-module-transforms@7.15.4,MIT,https://github.com/babel/babel
@babel/helper-optimise-call-expression@7.15.4,MIT,https://github.com/babel/babel
@babel/helper-replace-supers@7.15.4,MIT,https://github.com/babel/babel
@babel/helper-simple-access@7.15.4,MIT,https://github.com/babel/babel
@babel/helper-split-export-declaration@7.14.5,MIT,https://github.com/babel/babel
@babel/helper-split-export-declaration@7.15.4,MIT,https://github.com/babel/babel
@babel/helper-validator-identifier@7.14.9,MIT,https://github.com/babel/babel
@babel/helper-validator-option@7.14.5,MIT,https://github.com/babel/babel
@babel/helpers@7.14.8,MIT,https://github.com/babel/babel
@babel/highlight@7.10.4,MIT,https://github.com/babel/babel
@babel/highlight@7.14.5,MIT,https://github.com/babel/babel
@babel/parser@7.14.9,MIT,https://github.com/babel/babel
@babel/parser@7.15.6,MIT,https://github.com/babel/babel
@babel/template@7.14.5,MIT,https://github.com/babel/babel
@babel/template@7.15.4,MIT,https://github.com/babel/babel
@babel/traverse@7.14.9,MIT,https://github.com/babel/babel
@babel/traverse@7.15.4,MIT,https://github.com/babel/babel
@babel/types@7.14.9,MIT,https://github.com/babel/babel
@babel/types@7.15.6,MIT,https://github.com/babel/babel
@dabh/diagnostics@2.0.2,MIT,https://github.com/3rd-Eden/diagnostics
@fortawesome/fontawesome-free@5.15.4,(CC-BY-4.0 AND OFL-1.1 AND MIT),https://github.com/FortAwesome/Font-Awesome
@locl/cli@1.0.0,AGPL-3.0-or-later,https://github.com/loclapp/locl
@microsoft/fast-animation@4.1.9,MIT,https://github.com/Microsoft/fast
@microsoft/fast-element@1.9.0,MIT,https://github.com/Microsoft/fast
@microsoft/fast-foundation@2.41.1,MIT,https://github.com/Microsoft/fast
@microsoft/fast-web-utilities@5.2.0,MIT,https://github.com/Microsoft/fast
ajv@6.12.6,MIT,https://github.com/ajv-validator/ajv
ansi-regex@4.1.1,MIT,https://github.com/chalk/ansi-regex
ansi-regex@5.0.1,MIT,https://github.com/chalk/ansi-regex
ansi-styles@3.2.1,MIT,https://github.com/chalk/ansi-styles
ansi-styles@4.3.0,MIT,https://github.com/chalk/ansi-styles
anymatch@3.1.2,ISC,https://github.com/micromatch/anymatch
asn1@0.2.4,MIT,https://github.com/joyent/node-asn1
assert-plus@1.0.0,MIT,https://github.com/mcavage/node-assert-plus
async@3.2.3,MIT,https://github.com/caolan/async
asynckit@0.4.0,MIT,https://github.com/alexindigo/asynckit
aws-sign2@0.7.0,Apache-2.0,https://github.com/mikeal/aws-sign
aws4@1.11.0,MIT,https://github.com/mhart/aws4
balanced-match@1.0.0,MIT,https://github.com/juliangruber/balanced-match
bcrypt-pbkdf@1.0.2,BSD-3-Clause,https://github.com/joyent/node-bcrypt-pbkdf
binary-extensions@2.2.0,MIT,https://github.com/sindresorhus/binary-extensions
brace-expansion@1.1.11,MIT,https://github.com/juliangruber/brace-expansion
braces@3.0.2,MIT,https://github.com/micromatch/braces
browserslist@4.17.0,MIT,https://github.com/browserslist/browserslist
camelcase@5.3.1,MIT,https://github.com/sindresorhus/camelcase
caniuse-lite@1.0.30001257,CC-BY-4.0,https://github.com/browserslist/caniuse-lite
canonical-path@1.0.0,MIT,https://github.com/petebacondarwin/node-canonical-path
caseless@0.12.0,Apache-2.0,https://github.com/mikeal/caseless
chalk@2.4.2,MIT,https://github.com/chalk/chalk
chalk@4.1.2,MIT,https://github.com/chalk/chalk
chokidar@3.5.2,MIT,https://github.com/paulmillr/chokidar
client-sessions@0.8.0,MPL-2.0,https://github.com/mozilla/node-client-sessions
cliui@5.0.0,ISC,https://github.com/yargs/cliui
cliui@7.0.4,ISC,https://github.com/yargs/cliui
color-convert@1.9.3,MIT,https://github.com/Qix-/color-convert
