Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
pyparsing,MIT,http://www.opensource.org/licenses/MIT,pypi,pyparsing:3.0.8,pypi://pyparsing,3.0.8
ubuntu:focal:apt,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,deb,ubuntu:focal:apt:2.0.6,deb://ubuntu:focal:apt,2.0.6
ubuntu:focal:libsqlite3-0,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,deb,ubuntu:focal:libsqlite3-0:3.31.1-4ubuntu0.2,deb://ubuntu:focal:libsqlite3-0,3.31.1-4ubuntu0.2
xml2js,MIT,http://www.opensource.org/licenses/MIT,npm,xml2js:0.4.19,npm://xml2js,0.4.19
sizzle,MIT,http://www.opensource.org/licenses/MIT,npm,sizzle:2.3.6,npm://sizzle,2.3.6
pandocfilters,BSD,http://directory.fsf.org/wiki/License:BSD_4Clause,pypi,pandocfilters:1.5.0,pypi://pandocfilters,1.5.0
8:copy-jdk-configs,BSD,http://directory.fsf.org/wiki/License:BSD_4Clause,rpm,8:copy-jdk-configs:0:4.0-2.el8,rpm://8:copy-jdk-configs,0:4.0-2.el8
ubuntu:focal:libasan5,"BSD-2-Clause,BSD-3-Clause,GPL-3.0-only,LGPL-2.1-only,MIT,Zlib","http://opensource.org/licenses/BSD-2-Clause,http://opensource.org/licenses/BSD-3-Clause,http://www.gnu.org/licenses/gpl-3.0-standalone.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,http://www.opensource.org/licenses/MIT,http://www.opensource.org/licenses/Zlib",deb,ubuntu:focal:libasan5:9.3.0-17ubuntu1~20.04,deb://ubuntu:focal:libasan5,9.3.0-17ubuntu1~20.04
ubuntu:focal:libfdisk1,"BSD-2-Clause,BSD-3-Clause,BSD-4-Clause,GPL-2.0-only,GPL-2.0-or-later,GPL-3.0-or-later,LGPL-2.1-or-later,MIT","http://opensource.org/licenses/BSD-2-Clause,http://opensource.org/licenses/BSD-3-Clause,http://directory.fsf.org/wiki/License:BSD_4Clause,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/licenses/gpl-3.0-standalone.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,http://www.opensource.org/licenses/MIT",deb,ubuntu:focal:libfdisk1:2.34-0.1ubuntu9.3,deb://ubuntu:focal:libfdisk1,2.34-0.1ubuntu9.3
ubuntu:focal:netbase,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,deb,ubuntu:focal:netbase:6.1,deb://ubuntu:focal:netbase,6.1
ubuntu:focal:fakeroot,"Artistic-2.0,GPL-3.0","http://www.opensource.org/licenses/artistic-license-2.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html",deb,ubuntu:focal:fakeroot:1.24-1,deb://ubuntu:focal:fakeroot,1.24-1
vivifyer,MIT,http://www.opensource.org/licenses/MIT,npm,vivifyer:0.0.0,npm://vivifyer,0.0.0
ubuntu:focal:libnss3,"BSD-3-Clause,MIT,MPL-2.0,Zlib","http://opensource.org/licenses/BSD-3-Clause,http://www.opensource.org/licenses/MIT,http://opensource.org/licenses/MPL-2.0,http://www.opensource.org/licenses/Zlib",deb,ubuntu:focal:libnss3:2:3.49.1-1ubuntu1.6,deb://ubuntu:focal:libnss3,2:3.49.1-1ubuntu1.6
8:libattr,LGPL-3.0,http://www.gnu.org/licenses/lgpl-3.0-standalone.html,rpm,8:libattr:0:2.4.48-3.el8,rpm://8:libattr,0:2.4.48-3.el8
3.15:libffi,MIT,http://www.opensource.org/licenses/MIT,alpine,3.15:libffi:3.4.2-r1,alpine://3.15:libffi,3.4.2-r1
ubuntu:focal:libglibmm-2.4-1v5,"GPL-2.0,LGPL-3.0","http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/licenses/lgpl-3.0-standalone.html",deb,ubuntu:focal:libglibmm-2.4-1v5:2.64.2-1,deb://ubuntu:focal:libglibmm-2.4-1v5,2.64.2-1
colorspace,MIT,http://www.opensource.org/licenses/MIT,npm,colorspace:1.1.4,npm://colorspace,1.1.4
strip-bom,MIT,http://www.opensource.org/licenses/MIT,npm,strip-bom:3.0.0,npm://strip-bom,3.0.0
unique-filename,ISC,http://www.opensource.org/licenses/ISC,npm,unique-filename:1.1.1,npm://unique-filename,1.1.1
certifi,MPL-2.0,http://opensource.org/licenses/MPL-2.0,pypi,certifi:2022.5.18.1,pypi://certifi,2022.5.18.1
8:javapackages-runtime:201801/javapackages-filesystem,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,rpm,8:javapackages-runtime:201801/javapackages-filesystem:0:5.3.0-1.module+el8+2447+6f56d9a6,rpm://8:javapackages-runtime:201801/javapackages-filesystem,0:5.3.0-1.module+el8+2447+6f56d9a6
8:xkeyboard-config,MIT,http://www.opensource.org/licenses/MIT,rpm,8:xkeyboard-config:0:2.28-1.el8,rpm://8:xkeyboard-config,0:2.28-1.el8
ubuntu:focal:libavahi-client3,"BSD,BSD 2-Clause,LGPL-2.1","http://directory.fsf.org/wiki/License:BSD_4Clause,http://opensource.org/licenses/BSD-2-Clause,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",deb,ubuntu:focal:libavahi-client3:0.7-4ubuntu7.1,deb://ubuntu:focal:libavahi-client3,0.7-4ubuntu7.1
methods,MIT,http://www.opensource.org/licenses/MIT,npm,methods:1.1.2,npm://methods,1.1.2
object.values,MIT,http://www.opensource.org/licenses/MIT,npm,object.values:1.1.5,npm://object.values,1.1.5
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.12.3,gav://com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.12.3
@nodelib/fs.scandir,MIT,http://www.opensource.org/licenses/MIT,npm,@nodelib/fs.scandir:2.1.5,npm://@nodelib/fs.scandir,2.1.5
3.14:ssl_client,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.14:ssl_client:1.33.1-r7,alpine://3.14:ssl_client,1.33.1-r7
debian:bullseye:libselinux1,"GPL-2.0,LGPL-2.1","http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",deb,debian:bullseye:libselinux1:3.1-3,deb://debian:bullseye:libselinux1,3.1-3
ubuntu:focal:libisl22,"BSD 2-Clause,LGPL-3.0,MIT","http://opensource.org/licenses/BSD-2-Clause,http://www.gnu.org/licenses/lgpl-3.0-standalone.html,http://www.opensource.org/licenses/MIT",deb,ubuntu:focal:libisl22:0.22.1-1,deb://ubuntu:focal:libisl22,0.22.1-1
jupyterhub-tmpauthenticator,"BSD,BSD-3-Clause","http://directory.fsf.org/wiki/License:BSD_4Clause,http://opensource.org/licenses/BSD-3-Clause",pypi,jupyterhub-tmpauthenticator:0.6,pypi://jupyterhub-tmpauthenticator,0.6
pathspec,MPL-2.0,http://opensource.org/licenses/MPL-2.0,pypi,pathspec:0.9.0,pypi://pathspec,0.9.0
traitlets,BSD,http://directory.fsf.org/wiki/License:BSD_4Clause,pypi,traitlets:5.1.1,pypi://traitlets,5.1.1
8:gnupg2,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,rpm,8:gnupg2:0:2.2.20-2.el8,rpm://8:gnupg2,0:2.2.20-2.el8
3.15:ssl_client,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.15:ssl_client:1.34.1-r5,alpine://3.15:ssl_client,1.34.1-r5
lodash,MIT,http://www.opensource.org/licenses/MIT,npm,lodash:4.17.21,npm://lodash,4.17.21
flake8,MIT,http://www.opensource.org/licenses/MIT,pypi,flake8:3.9.2,pypi://flake8,3.9.2
com.fasterxml.jackson.core:jackson-annotations,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.core:jackson-annotations:2.12.1,gav://com.fasterxml.jackson.core:jackson-annotations,2.12.1
io.strimzi:kafka-quotas-plugin,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.strimzi:kafka-quotas-plugin:0.2.0,gav://io.strimzi:kafka-quotas-plugin,0.2.0
ubuntu:focal:libzzip-0-13,LGPL-3.0,http://www.gnu.org/licenses/lgpl-3.0-standalone.html,deb,ubuntu:focal:libzzip-0-13:0.13.62-3.2ubuntu1,deb://ubuntu:focal:libzzip-0-13,0.13.62-3.2ubuntu1
lazy-object-proxy,"BSD 2-Clause,BSD-2-Clause","http://opensource.org/licenses/BSD-2-Clause,http://opensource.org/licenses/BSD-2-Clause",pypi,lazy-object-proxy:1.4.3,pypi://lazy-object-proxy,1.4.3
Pillow,HPND,http://www.opensource.org/licenses/HPND,pypi,Pillow:9.1.1,pypi://Pillow,9.1.1
six,MIT,http://www.opensource.org/licenses/MIT,pypi,six:1.14.0,pypi://six,1.14.0
debian:bullseye:libcap-ng0,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,deb,debian:bullseye:libcap-ng0:0.7.9-2.2+b1,deb://debian:bullseye:libcap-ng0,0.7.9-2.2+b1
debian:bullseye:libldap-2.4-2,"BSD,ISC,MIT","http://directory.fsf.org/wiki/License:BSD_4Clause,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:libldap-2.4-2:2.4.57+dfsg-3,deb://debian:bullseye:libldap-2.4-2,2.4.57+dfsg-3
debian:bullseye:libsemanage1,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,deb,debian:bullseye:libsemanage1:3.1-1+b2,deb://debian:bullseye:libsemanage1,3.1-1+b2
3.14:libnsl,LGPL-3.0,http://www.gnu.org/licenses/lgpl-3.0-standalone.html,alpine,3.14:libnsl:1.3.0-r0,alpine://3.14:libnsl,1.3.0-r0
